Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2025-04-17 10:52:55,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7318587257794314242,"Con 11 milioni di clienti, tra cui 1 famiglia su 3 e 1 impresa su 4, e una Rete di oltre 40mila distributori Generali Italia è la prima assicurazione in Italia: con questi numeri, è fondamentale l’analisi avanzata dei dati per conoscere e anticipare sempre meglio i bisogni della nostra rete e dei nostri clienti.""
""""
""Di recente, in collaborazione con le aree marketing e vendite e con il coinvolgimento diretto di alcune agenzie, abbiamo fatto alcune sperimentazioni e siamo riusciti a capire come rispondere in modo innovativo alle necessità dei nostri clienti e favorire una comunicazione più semplice e diretta.""
""""
""Questo permetterà un affiancamento sempre più mirato ad esempio in tutte le situazioni in cui il cliente esprime nuove esigenze di protezione personale, familiare o di beni, come la nascita di un figlio o l’acquisto di un’abitazione. Possiamo aiutare la Rete ad avere tutte le informazioni necessarie, con qualità certificata, quindi a velocizzare i tempi e a fornire un servizio sempre più personalizzato.""
""""
""I dati si trasformano in relazione per offrire una comunicazione ancora più evoluta. L’intelligenza artificiale supporta per ampliare, velocizzare e semplificare i canali di comunicazione. La consulenza evolve, restando profondamente umana.""
""""
""Anche queste sono «Le Generali che non ti aspetti».""
""""
""Ringrazio le Agenzie e i team che stanno lavorando a questo programma e un ringraziamento speciale alla mia collega che guida la Business & Network Intelligence nel #CountryDataOffice di Generali Italia, Vanessa Perciballi, per lo sviluppo dei principali strumenti e insight, come raccontato con chiarezza in questo video, che vi invito a guardare!""
""""
""#PartnerDiVita #PiùDiUnLavoro, #AI, #ArtificialIntelligence, #GeographicInformationSystem","","",MEMBER_NETWORK
2025-04-15 14:11:59,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7317912576820965376,"AI-Generated content needs a digital passport: why #Watermarking is essential for #insurance""
"" ""
""As we deploy AI systems at scale and open AI-generated content to sales networks and clients, we need to establish verifiable digital provenance frameworks. This is no longer optional – it's fundamental to responsible #GenAI deployment, especially in regulated industries like insurance. 🔍""
"" ""
""Digital watermarking embeds invisible statistical patterns into AI-generated content that function like a signature, allowing for reliable verification without sacrificing quality or performance. The technology carefully modifies how AI selects each word, creating subtle patterns that verification tools can detect but remain imperceptible to humans, and now this works at enterprise scale as well.""
"" ""
""📣 A recent Nature Magazine publication from Google DeepMind’s SynthID-Text team has demonstrated watermarking at unprecedented scale, setting new standards for what's possible in AI governance. Their ""Tournament sampling"" approach solves technical challenges that previously limited real-world adoption, creating a viable pathway for responsible AI deployment.""
"" ""
""For insurance specifically, this technology addresses several critical needs:""
""💡 It establishes verifiable provenance for all AI-generated customer communications""
""💡  It creates an audit trail for compliance with emerging regulations like the EU AI Act""
""💡 It provides technical foundations for expanding AI use cases across underwriting, claims, and customer service while maintaining trust standards""
"" ""
""At Generali Italia, our approach to AI has balances innovation with responsibility. We view technologies like scalable watermarking as enablers that enhance our ability to deploy AI confidently across more use cases. By addressing critical issues of provenance and verification, we can push boundaries while maintaining the trust that's fundamental to our industry.""
"" ""
""The journey to implement #AI responsibly requires commitment, but as with all meaningful transformation, this investment sets the foundation for sustainable growth.""
""""
""I'm curious to speak with digital watermarking experts as we continuously expand our Data and AI team…""
"" ""
""#Generali #lifetimepartner #GenerativeAI #ResponsibleAI #DigitalWatermarking #AIGovernance #InsuranceTech  #DigitalTransformation","","",MEMBER_NETWORK
2025-04-06 10:47:54,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7314599727675662336,"In just the last six months, the way we use data and AI has changed dramatically.""
""""
""The key points I see from the front lines at Generali Italia in the insurance world and beyond.""
""""
""💎Data and AI are delivering real results at scale. ""
""Our teams are now using data-driven operations across major business processes, achieving record-breaking results. This didn't happen by magic - it took careful alignment of our systems, processes, change management and increasingly sophisticated algorithms.""
""""
""🌈The democratization of AI is a fascinating trend. ""
""We are speaking and developing tools with our agencies, we're spreading this knowledge across the company, with AI training programs for all managers. ""
""(I even had the undeserved task of lecturing at the Cassa Depositi e Prestiti program, right after Professor Mario Monti and Professor Carlo Alberto Carnevale-Maffè!)""
""""
""🌏The hunger for innovation is growing faster than ever. ""
""From participating in Digital Coffee with CNBC alongside Marco Di Dio Roccazzella's team at JAKALA, to setting up innovation labs with partners, we're seeing teams come together to tackle what seemed impossible before. We're even partnering with a data analytics giant to revolutionize how we use location-based insights.""
""""
""⏳Mastering AI for business applications demands dedication. ""
""I find myself studying more each year than the previous one (and yes, watching the list of drop-outs grow longer 😊). But that's the nature of transformation - it requires commitment.""
""""
""💡Data is still the kingmaker. ""
""While AI might be the biggest revolution since the World Wide Web, just like the internet era, competitive advantage comes from having the right data and knowing how to use it (especially in regulated industries like insurance)""
""""
""The journey continues, and with our management team, we keep pushing the boundaries of what's possible in insurance. The future looks more exciting than ever.""
""""
""""
""#Generali #AI #Innovation #DigitalTransformation #Insurance #Leadership #Partnerdivita","","",MEMBER_NETWORK
2024-12-04 14:35:03,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7270083185965682688,"Per i nostri assicurati l’#IntelligenzaArtificiale promuove la relazione tra le persone attraverso maggiore conoscenza e semplificazione della comunicazione.""
""""
""Come ho avuto modo di raccontare ad Andrea Turco in questa intervista con InsurZine, le assicurazioni sono sempre state aziende con una forte base matematica e in questo senso l'#IA rappresenta un grande alleato, che ci permetterà di supportare ancora meglio la Rete, semplificando e digitalizzando ulteriormente i processi, e garantire la migliore customer experience ai nostri clienti.""
""""
""In Generali Italia abbiamo modificato il modo di fare assicurazione e oggi l'IA è al centro della nostra trasformazione. In questi ultimi anni abbiamo sviluppato circa 90 algoritmi di IA che entrano in diversi processi aziendali e questo ci permette di rispondere ancora meglio alla nostra ambizione di essere #PartnerDiVita delle persone. Innanzitutto, permettendoci di avere sempre un dialogo attivo con tutti i nostri stakeholder, clienti e Agenti così da avere una conoscenza approfondita dei loro bisogni, talvolta addirittura anticipandoli. Lo scopo ultimo è poi arrivare a una maggiore rapidità e personalizzazione dei nostri servizi, che si traduce in una maggiore soddisfazione per il cliente e di vantaggio competitivo per l’azienda.""
""""
""Ma quando si affronta il tema dell’IA si deve tener conto dei ritmi evolutivi che sorprendono anche gli addetti ai lavori. E se nel breve periodo gli impatti più significativi per le assicurazioni si avranno nella riduzione dei tempi di gestione del post-vendita e nella maggiore facilità di processamento dell’enorme mole di informazioni che vengono analizzate quotidianamente, sul lungo periodo, invece, ci saranno forti impatti sui cosiddetti “servizi salvavita”. Già oggi, ad esempio, tramite l’analisi dei dati in tempo reale delle Black Box installate sulle auto siamo in grado di classificare certi tipi di segnali come “incidente”, facendo partire una chiamata automatica al cellulare del cliente per metterlo in contatto con un operatore umano che verifica la situazione e invia tempestivamente i soccorsi in caso di bisogno.","","",MEMBER_NETWORK
2024-04-19 15:44:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7187113743242199040,"In Generali Italia, l'analisi del dato è parte del nostro DNA assicurativo. ""
"" ""
""In un contesto economico e sociale che cambia a tassi crescenti e progressivi, è oggi fondamentale usare i dati per anticipare i bisogni dei nostri clienti e rendere eccellente l’esperienza di interazione con le nostre reti lungo tutto il ciclo di vita, con standard di servizio da digital company. Ad esempio, il grande lavoro fatto ‘dietro le quinte’ per poter integrare enormi moli di basi dati, con controlli di qualità di elevato standard e sfruttando la significativa potenza computazionale degli ambienti cloud, ha potenziato la nostra capacità di analisi e ci consente di costruire nuovi punti di vista sui bisogni delle persone. ""
"" ""
""Per supportare tutto questo, in Generali Italia investiamo significativamente in tecnologia, rinnovando processi sistemi e modalità di lavoro e contando su una squadra – il Data Office – giovane e fortemente specializzata, ad esempio su tutte le nuove tecnologie di intelligenza artificiale.""
""""
""Nel nostro mestiere, i dati e i software di #AI sono e restano gestiti sempre in combinazione con capacità tecniche avanzate e sotto il giudizio professionale degli esperti. Infatti, l'attività umana rimane centrale nel nostro core business, con le tecnologie che servono da supporto per eliminare i limiti informativi e gestire attività massive.""
"" ""
""Sono stati questi i temi al centro del mio intervento agli Stati Generali dell’Intelligenza Artificiale 2024 di Milano Finanza. Grazie a Mariavittoria Zaglio di Class CNBC e gli altri relatori per l'interessante confronto.""
"" ""
""#PartnerDiVita #PiùDiUnLavoro, #AI, #Cloud, #CDO""
"" ""
""","","",MEMBER_NETWORK
2024-04-12 21:59:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7184671396063526912,"To candidates aspiring to join the top AI driven companies - ""
""""
""Generali Italia’s Data Office has been recognized by Google as one of the top 101 companies worldwide for its real-world implementation of #GenAI processes.""
""""
""While I am humbled by this acknowledgment, I wanted to share it with my network. In just six years since the start of our Data Office, we have earned a place among the world’s AI leaders. Now, after such a public recognition of our long-term AI vision, we keep working hard to turn it into better customers and networks service.""
""""
""This achievement builds upon the dedication, investments and results delivered by the pioneers Stefano Frigerio, Massimo Natale, Alessandro Colombo, Virginia Scarabattoli, Vanessa Perciballi, Diego Paladini, Antonio Bencini Farina, and the entire #CDO Generali Italia team - the so called 'Emeralds'.""
""""
""Candidates... if you don’t find luck with the other top 100 companies, we are here and welcome your interest.",https://cloud.google.com/transform/101-real-world-generative-ai-use-cases-from-industry-leaders,"",MEMBER_NETWORK
2024-02-10 20:45:42,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7162184878334111744,"It's crucial that we encourage greater participation in #STEM -  ""
""""
""As a member of the management team at Generali Italia, I fully endorse the initiative by Valore D (an Italian association) during the national STEM week. ""
""""
""However… I've realized that our goals extend beyond this campaign. ""
""""
""We are falling behind.""
""When it comes to STEM, we are trailing the US by a 20-year gap, as evident in the chart below, which I created for fun, but that says a lot. ""
""""
""We've made some progress.""
""Initiatives such as Generali Italia's work in digital and data science over the past 5-6 years serve as positive examples. We have successfully onboarded 200 professionals in digital, data and AI, achieving a STEM and non-STEM mixed team, as well as gender and background balance-by-design.""
""""
""This effort is important for the broader society. ""
""With the increasing integration of #ai into our daily lives, we must be mindful of the teachings which we guide these technologies with. We need our own educational initiatives to ensure that #ai is developed without bias, and this can only be achieved through a well-balanced group of individuals.""
""""
""Looking ahead, I'm optimistic. ""
""E.g. the new hires in the #DataOffice of Generali Italia show a more inclusive ""both-and"" mindset, if compared with our ""either-or"", maybe also because they are born around the time when Social Networks, Clouds, ... were. They communicate through multiple networks, work with multiple languages, operate across various cloud platforms, and collaborate in diverse teams. ""
""""
""We as managers are committed to creating a more diverse world, but I'm inspired by the fact that this generation inherently lives the values of diversity, equity and balance. Just go.""
""  ""
""#Generali4GirlsInSTEM, #WomenInScience, #ValoreD4STEM, #WeStand4STEM, #PartnerDiVita #PiùDiUnLavoro, #ai, #aiact","","",MEMBER_NETWORK
2024-01-19 08:14:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7154023279467376642,"Se mi guardo indietro, vedo il futuro - ""
""""
""Non posso sintetizzare meglio quando penso a quanto ho visto ieri, durante la giornata plenaria di inizio anno del Country Data Office di Generali Italia Italia, in cui l’intero team riunito ha rivisto e analizzato i risultati raggiunti nel 2023, gli errori fatti e le cose da migliorare e definito ambizione, piano e metodo di lavoro del 2024.""
""""
""E, con la guida dei due Tech Lead Team e Platform Team, le équipe di eccellenza ingegneristica interna ispirate dalla nostra privilegiata… #MountainView, abbiamo fissato la roadmap tecnologica a supporto del piano. ""
""""
""Anche quest’anno confermiamo e prevediamo la coraggiosa – ma che ha pagato fino ad oggi – scelta di sviluppo proprietario interno di qualsiasi asset che generi vantaggio competitivo e capitale intellettuale innovativo, combinata con una architettura ormai a geometria totalmente “arcobaleno”, per l’integrazione di componenti e di supporto esterno dove necessario. (Per chi all’ascolto interessato ad una candidatura, questo vuol dire che da noi si sviluppa 100% content con IP proprietario…).""
""""
""L’ultima parte l’abbiamo spesa ad approfondire la priorità numero 1 del 2024: l’intelligenza artificiale dedicata al supporto delle nostre Reti. Su questo non posso che ringraziare tutti i colleghi delle aree di business di ALLEANZA ASSICURAZIONI, Generali Italia e Cattolica Assicurazioni, per l’entusiasmo e la passione con cui da oltre un anno ci hanno aperto le porte e ci spingono a sviluppare strumenti analitici concretamente adottabili in Rete, non vi deluderemo!""
""""
"" #PartnerDiVita #PiùDiUnLavoro #intelligenzaartificiale","","",MEMBER_NETWORK
2024-01-15 11:22:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7152621038504157185,"“Una democrazia si nutre prima di tutto della capacità di ascoltare, e occorre coraggio per ascoltare”""
""[…]""
""“Ascoltare significa anche saper leggere la direzione e la rapidità dei mutamenti che stiamo vivendo, mutamenti che possono recare effetti positivi sulle nostre vite”""
"" […] ""
""“Adesso, con l’intelligenza artificiale che si autoalimenta, si sta generando un progresso inarrestabile, destinato a modificare profondamente le nostre abitudini professionali sociali relazionali”""
""(S. Mattarella, messaggio di fine anno 2023)""
""""
""Con questi principi in mente: democrazia, ascolto, coraggio, direzione, effetti positivi, progresso e modifiche, cominciano le attività 2024 del Country Data Office di Generali Italia.""
""""
""E per aiutare a capire meglio parole ormai d’uso comune, come intelligenza artificiale  nel discorso fine anno del nostro presidente, Agnese Niccolò, Artificial Intelligence Lead del Country Data Office ha pubblicato questo episodio del podcast «Semplice Come…spiegare il mio lavoro a mamma o papà» condotto da Giulio Beronia. ""
""""
""Ai curiosi del mondo dell’Intelligenza Artificiale, agli studenti e neolaureati che vogliono intraprendere questa professione, raccomando il “coraggio” di entrare in contatto con noi, iniziando dall’ “ascolto” di questo podcast: ""
""""
""https://lnkd.in/d5m-kN45""
"" ""
""#SempliceCome #PartnerDiVita #PiùDiUnLavoro #intelligenzaartificiale",https://open.spotify.com/episode/2GiEuQZ1nzNxqV73eXko9i?si=ZK8oQ2pcRtC-X76MS2s4zQ,"",MEMBER_NETWORK
2023-12-12 17:27:28,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7140391719551897600,"SEMPLICE COME – TECH LEAD DATA SCIENTIST""
"" ""
""Di cosa si occupano i Tech Lead Data Scientist?""
"" ""
""Il nuovo podcast di Generali Italia «Semplice Come…spiegare il mio lavoro a mamma e papà», condotto da Giulio Beronia, prova a spiegarlo in maniera semplice.""
"" ""
""Ivan Vigorito, Tech Lead del #dataoffice di Generali Italia, usa una metafora efficace: i dati rappresentano i singoli pezzi di un puzzle e il talento dei nostri Tech Lead Data Scientist consiste nel saperli abbinare correttamente, andando a comporre un quadro più ampio e di valore.""
"" ""
""Per saperne di più potete, ascolta l’episodio del podcast: https://lnkd.in/dz9yy8fj""
"" ""
""Se sei curioso e vuoi scoprire nuovi corsi pensati per te, visita l’ecosistema digitale di #GoGenerali: troverai tanti contenuti, selezionati da professionisti come Ivan, per prepararti ad affrontare il tuo futuro professionale e sviluppare nuove competenze.""
"" ""
""#SempliceCome #PartnerDiVita #PiùDiUnLavoro",https://open.spotify.com/episode/5zIjJX4wTtBMisIqh7tOGp?si=n6QMyLGWQmqf4eH6diLpXA,"",MEMBER_NETWORK
2023-12-09 13:16:00,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7139241273869209601,"Complimenti per il riuscitissimo lavoro “Augmented Signature Experience” edito da EgeaEditore Università Bocconi e grazie a Marco Di Dio Roccazzella e alla Prof.ssa Stefania Saviolo per aver ospitato la case history di Generali Italia.""
""""
""Ho ripensato e raccontato come in questi sei anni dalla creazione del #dataoffice e delle competenze #digitali e #IoT, abbiamo migliorato e arricchito l’esperienza di clienti e Reti, anche grazie ai software di analisi geografica #gis, ai dati #Iot, alle tecnologie #Cloud e soprattutto come abbiamo aumentato la sicurezza dei clienti, ad esempio grazie ai servizi che prevedono un possibile stato di emergenza (#ecall), per le auto connesse. ""
""""
""Facendo tesoro di quanto fatto e alla luce del neonato contesto normativo #AiAct e delle nuove tecnologie #generalpurposeAI, cerchiamo e sviluppiamo le nuove competenze, per migliorare ancora l’anno prossimo.""
""""
""#partnerdivita","","",MEMBER_NETWORK
