Date,Link,OptionText
2025-01-20 21:10:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:7287213659796250624,Nadella
2025-01-07 19:46:43,https://www.linkedin.com/feed/update/urn:li:ugcPost:7282477601808420864,Claude
2024-08-09 08:00:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:7227271257400987648,"Almeno 5 gg, anche 1 settimana"
2024-03-05 16:14:19,https://www.linkedin.com/feed/update/urn:li:ugcPost:7170811405422546944,July
2023-05-24 18:27:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:7065355831717875714,I do if I have time
2023-05-17 14:13:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:7064224948361342976,Sono solo un freno
2023-04-27 22:11:50,https://www.linkedin.com/feed/update/urn:li:ugcPost:7057450818744016896,Personal advice (at home)
2022-04-16 17:45:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:6921143891396083712,Absolutely
2021-07-11 10:37:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:6819905647954534400,Italia ðŸ‡®ðŸ‡¹
2021-06-29 05:56:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:6815246852162670592,True!
2021-06-20 20:24:44,https://www.linkedin.com/feed/update/urn:li:ugcPost:6812323825787781120,Google Cloud
